_id,Category,Topic,Special,Characteristic,Agincourt North,Agincourt South-Malvern West,Alderwood,Annex,Banbury-Don Mills,Bathurst Manor,Bay Street Corridor,Bayview Village,Bayview Woods-Steeles,Bedford Park-Nortown,Beechborough-Greenbrook,Bendale,Birchcliffe-Cliffside,Black Creek,Blake-Jones,Briar Hill-Belgravia,Bridle Path-Sunnybrook-York Mills,Broadview North,Brookhaven-Amesbury,Cabbagetown-South St. James Town,Caledonia-Fairbank,Casa Loma,Centennial Scarborough,Church-Yonge Corridor,Clairlea-Birchmount,Clanton Park,Cliffcrest,Corso Italia-Davenport,Danforth,Danforth East York,Don Valley Village,Dorset Park,Dovercourt-Wallace Emerson-Junction,Downsview-Roding-CFB,Dufferin Grove,East End-Danforth,Edenbridge-Humber Valley,Eglinton East,Elms-Old Rexdale,Englemount-Lawrence,Eringate-Centennial-West Deane,Etobicoke West Mall,Flemingdon Park,Forest Hill North,Forest Hill South,Glenfield-Jane Heights,Greenwood-Coxwell,Guildwood,Henry Farm,High Park North,High Park-Swansea,Highland Creek,Hillcrest Village,Humber Heights-Westmount,Humber Summit,Humbermede,Humewood-Cedarvale,Ionview,Islington-City Centre West,Junction Area,Keelesdale-Eglinton West,Kennedy Park,Kensington-Chinatown,Kingsview Village-The Westway,Kingsway South,Lambton Baby Point,L'Amoreaux,Lansing-Westgate,Lawrence Park North,Lawrence Park South,Leaside-Bennington,Little Portugal,Long Branch,Malvern,Maple Leaf,Markland Wood,Milliken,Mimico (includes Humber Bay Shores),Morningside,Moss Park,Mount Dennis,Mount Olive-Silverstone-Jamestown,Mount Pleasant East,Mount Pleasant West,New Toronto,Newtonbrook East,Newtonbrook West,Niagara,North Riverdale,North St. James Town,Oakridge,Oakwood Village,O'Connor-Parkview,Old East York,Palmerston-Little Italy,Parkwoods-Donalda,Pelmo Park-Humberlea,Playter Estates-Danforth,Pleasant View,Princess-Rosethorn,Regent Park,Rexdale-Kipling,Rockcliffe-Smythe,Roncesvalles,Rosedale-Moore Park,Rouge,Runnymede-Bloor West Village,Rustic,Scarborough Village,South Parkdale,South Riverdale,St.Andrew-Windfields,Steeles,Stonegate-Queensway,Tam O'Shanter-Sullivan,Taylor-Massey,The Beaches,Thistletown-Beaumond Heights,Thorncliffe Park,Trinity-Bellwoods,University,Victoria Village,Waterfront Communities-The Island,West Hill,West Humber-Clairville,Westminster-Branson,Weston,Weston-Pelham Park,Wexford/Maryvale,Willowdale East,Willowdale West,Willowridge-Martingrove-Richview,Woburn,Woodbine Corridor,Woodbine-Lumsden,Wychwood,Yonge-Eglinton,Yonge-St.Clair,York University Heights,Yorkdale-Glen Park
1,Neighbourhood Information,Neighbourhood Information,,Neighbourhood Number,129,128,20,95,42,34,76,52,49,39,112,127,122,24,69,108,41,57,30,71,109,96,133,75,120,33,123,92,66,59,47,126,93,26,83,62,9,138,5,32,11,13,44,102,101,25,65,140,53,88,87,134,48,8,21,22,106,125,14,90,110,124,78,6,15,114,117,38,105,103,56,84,19,132,29,12,130,17,135,73,115,2,99,104,18,50,36,82,68,74,121,107,54,58,80,45,23,67,46,10,72,4,111,86,98,131,89,28,139,85,70,40,116,16,118,61,63,3,55,81,79,43,77,136,1,35,113,91,119,51,37,7,137,64,60,94,100,97,27,31
1030,Income,Income of households in 2015,X,  Average after-tax income of households in 2015 ($),427037,278390,168602,792507,493486,251583,352218,354894,253036,720203,109880,326482,369161,261560,154132,190243,1392010,126349,176688,301145,132879,545338,215135,443734,350777,168893,248846,304000,260052,334260,414411,251476,594477,562794,128586,304010,441052,343031,123119,293189,352269,132460,261233,258469,784645,410012,216423,177062,202357,496958,483620,196620,298716,238655,202677,184459,289910,169046,854623,310473,184802,229390,222404,272950,900624,214945,529383,356122,470908,1216585,841619,202912,137480,533202,144062,195412,525507,583422,272837,170813,164344,360648,348357,443047,188819,335768,260415,369683,318764,144164,134303,267062,354525,257522,347339,623453,154568,194189,219209,538736,103250,134305,295358,377518,1413132,729154,223885,113995,185967,258500,662651,649291,363045,516575,475647,102259,659192,140050,195114,333954,197072,171271,662333,316750,426156,332776,171044,127491,336503,572155,272986,412302,629030,240272,147462,239484,222648,541217,302358,213860
2040,Income,Income sources,,      Workers' compensation benefits: Aggregate amount ($'000),234,367,2067,554,316,1817,0,0,0,0,1186,1920,1023,3067,0,2475,0,858,1768,0,1956,0,486,0,1053,712,575,4266,812,1418,0,1317,5294,7192,1711,0,781,467,1184,1073,2618,696,388,0,0,7510,659,0,0,606,0,1587,0,1572,3049,1829,295,353,2271,1469,2826,814,660,2129,0,0,1327,0,0,0,0,706,848,934,2600,435,0,1628,460,0,1464,2328,0,0,735,0,0,0,0,198,0,4881,658,597,944,749,2478,0,1708,0,0,1686,4677,0,0,2078,985,2470,1459,257,0,0,0,2204,194,383,0,1197,0,1546,0,1377,0,3135,3510,568,2161,3988,2624,0,368,2018,1588,0,625,1163,0,0,3501,2945
2349,Income,Income sources,,      Goods and services tax (GST) credit and harmonized sales tax (HST) credit: Average amount ($),356,341,327,300,326,342,283,318,336,335,385,347,334,401,359,338,299,346,380,315,350,307,324,296,354,337,346,328,330,340,345,360,332,359,323,340,332,380,381,374,335,351,371,336,307,391,346,329,331,317,319,336,341,343,374,371,324,359,330,318,357,363,322,375,304,380,352,313,301,299,308,318,327,366,349,334,353,323,362,326,379,386,317,313,352,325,337,299,314,344,391,352,354,342,307,354,347,312,328,318,374,354,363,330,297,349,306,409,386,337,335,339,350,330,349,369,317,363,396,323,296,358,297,380,348,355,373,346,355,313,313,355,366,346,335,327,308,299,347,348
2352,Income,Income sources,,      Government transfers not included elsewhere: Average amount ($),514,452,342,336,399,426,346,418,411,362,448,464,360,543,427,390,328,376,457,373,389,351,380,333,427,380,386,348,380,368,446,491,375,433,396,348,360,471,471,465,372,412,538,350,424,499,391,336,426,336,318,409,485,392,505,486,337,425,395,339,439,451,430,492,273,396,488,340,280,282,275,349,352,516,387,382,518,377,442,375,458,509,309,360,397,445,424,339,316,411,526,415,413,358,343,425,401,324,421,319,485,413,445,359,323,448,291,491,491,377,390,388,521,365,486,475,277,462,623,376,322,456,354,447,472,468,432,417,419,428,428,411,495,332,340,356,302,318,417,400
2181,Income,Income sources,,      Working income tax benefit (WITB): Average amount ($),932,914,746,733,825,816,763,882,840,767,631,899,789,822,851,808,726,773,804,741,762,725,829,732,875,843,840,746,824,822,834,877,762,842,753,812,721,888,887,807,804,817,881,747,710,856,812,807,839,767,741,847,861,867,935,885,741,822,835,760,819,838,757,944,545,768,887,881,764,644,629,758,834,912,886,869,900,810,814,793,819,874,773,772,816,887,902,706,733,813,912,783,820,886,671,855,848,810,792,818,975,841,809,746,775,853,774,897,861,707,803,888,880,870,881,901,831,812,1085,743,682,847,758,847,825,892,813,817,853,894,824,859,894,863,707,735,737,729,783,830
2342,Income,Income sources,,    Other government transfers: Average amount ($),1344,1453,1585,1127,1285,1737,802,1055,1353,1083,3049,1769,1950,3237,2554,1857,620,2153,2658,1807,1929,899,1281,1397,2018,1339,2153,1980,1576,1631,1685,2098,1959,2283,1594,2087,1338,2574,2526,2119,1768,1999,2615,1508,848,2940,2209,1431,1865,1356,1162,1550,1261,1937,2512,2301,1461,2265,1584,1771,2119,2683,1907,2980,655,2440,1755,977,754,880,873,1399,2071,2013,1834,1262,1438,1699,2315,2840,2731,2925,929,1279,2459,1155,1538,1138,1125,2436,3282,2102,2575,2010,1251,1907,2107,1185,1332,1096,3099,2382,2615,2184,875,1649,1133,3161,3394,2681,1905,1057,1399,1578,1590,2674,1170,2102,2978,1392,1110,2518,879,3034,1754,1925,3119,2958,2057,918,1019,1848,2280,2194,2138,1414,1303,1135,2002,1876
2309,Income,Income sources,,      CPP/QPP - Disability benefits: Aggregate amount ($'000),1385,985,1546,584,1478,1850,1465,678,0,1168,1726,2837,2099,2063,454,1696,0,799,2069,1219,1914,656,1274,3872,2266,661,1752,2018,1143,1148,274,2731,4017,4396,1099,1809,1211,1751,1581,2152,2604,697,1285,887,489,4246,1291,1132,333,1544,1602,1349,370,1358,2006,2052,1038,1922,2913,756,2207,2347,974,1966,0,758,3173,376,0,0,335,942,1269,3375,1324,1659,399,4087,2894,2323,2621,2625,385,2646,1551,256,1265,744,842,1614,1465,2888,2088,1215,343,3186,1684,448,1566,419,326,1407,3275,323,815,3438,1257,1873,1449,1879,1724,0,343,2175,919,1418,1364,1280,350,1950,0,1752,1773,3582,4234,1841,2032,1959,4243,1680,966,2444,3116,1361,973,1198,772,357,2133,1953
2339,Income,Income sources,,      Provincial and territorial child benefits: Average amount ($),1577,1411,1246,1005,1310,1203,1307,1356,1551,1547,1723,1781,1424,2037,1968,1217,1030,1485,1654,1350,1379,1226,1570,1410,1721,1401,1547,1241,1513,1456,1480,1690,1356,1504,1506,1557,1297,1728,2091,2158,1625,1491,1897,1246,807,1962,1577,1315,1692,1077,1503,1550,1358,1627,1921,1773,1291,1509,1452,1210,1460,1640,1697,2174,0,2023,1570,1227,1130,606,943,1458,1314,1798,1473,1270,1594,1189,1794,2058,1670,1952,1033,1211,1461,1195,1299,1280,1247,1663,2075,1514,1559,1439,1151,1648,1379,920,1545,1395,2167,1538,1843,1333,962,1482,1081,1962,1848,1423,1529,1439,1485,1331,1663,1844,1247,1683,2357,1467,325,1756,1374,1872,1613,1350,1883,1678,1622,1298,1039,1701,1783,1648,1377,1200,1217,828,1727,1578
2031,Income,Income sources,,      Workers' compensation benefits: Average amount ($),1733,2294,8613,4617,2039,7125,0,0,0,0,8785,6982,4448,8763,0,10761,0,6600,7858,0,8693,0,3888,0,5137,5933,3966,9921,7061,7272,0,5065,9625,9221,8346,0,4881,2335,9108,6131,11383,9280,2587,0,0,10359,4881,0,0,3673,0,8578,0,10480,8711,7621,3278,2353,6056,8641,11304,4070,6947,7604,0,0,4281,0,0,0,0,4555,6784,2594,10196,5800,0,5427,2875,0,8612,5414,0,0,4200,0,0,0,0,2200,0,12515,3210,4592,4291,2774,11264,0,8332,0,0,8874,11407,0,0,5693,8208,10978,7886,2235,0,0,0,7733,995,2946,0,7481,0,7362,0,8345,0,8957,7630,2367,7718,14243,7952,0,4600,6727,3827,0,7813,7269,0,0,7529,8068
2336,Income,Income sources,,      Universal Child Care Benefit (UCCB): Average amount ($),1785,1800,1838,1845,1709,1732,1761,1656,1537,2170,1842,1875,1802,2085,1962,1528,1936,1711,1817,1808,1679,1935,1873,1731,1780,1962,1783,1834,2040,1876,1757,1905,1792,1783,1781,1896,1835,1797,1996,2376,1835,1695,2029,1830,1865,1940,1973,1802,1827,1818,1880,1709,1612,1748,1965,1931,1941,1794,1823,1838,1721,1719,1742,2032,1967,2003,1714,1919,2033,1920,1908,1932,1770,1908,1867,1626,1824,1700,1920,2017,1791,2000,1951,1649,1804,1627,1582,1708,1953,1889,2058,1818,1758,1849,1768,1802,1692,1916,1666,1854,1930,1916,1879,1902,1868,1817,1935,1954,1895,1663,1967,1692,1712,1888,1814,1928,1907,1853,2407,1782,1721,1777,1781,1867,1826,1657,1981,1793,1831,1608,1791,1932,1883,1850,1753,1904,1813,1973,1845,1789
