,Symbol,Name
0,0P00007049.TO,GWL Real Estate (GWLRA) DSC
1,0P0000705I.TO,RBC Premium Money Market Fund A
2,0P00007060.TO,RBC Canadian Money Market Fund A
3,0P00007062.TO,RBC Balanced Fund A
4,0P00007064.TO,RBC European Equity Fund A
5,0P00007067.TO,RBC Select Conservative Portfolio A
6,0P00007068.TO,RBC Bond Fund A
7,0P00007069.TO,RBC Select Growth Portfolio A
8,0P0000706A.TO,RBC Select Balanced Portfolio A
9,0P0000706L.TO,Canada Life Core Plus Bond Fund (Portico) A
10,0P0000706N.TO,Mackenzie Canadian Dividend Fund A
11,0P0000706U.TO,"Phillips, Hager & North Canadian Money Market Fund D"
12,0P0000706V.TO,"Phillips, Hager & North Dividend Income Fund D"
13,0P0000706X.TO,"Phillips, Hager & North Bond Fund D"
14,0P0000707L.TO,Dynamic Power American Growth
15,0P0000707U.TO,CIBC Monthly Income
16,0P0000708E.TO,TD Mgd Inc & Mod Growth Port I
17,0P0000708H.TO,TD Mgd Income Portfolio I
18,0P0000709N.TO,BMO Dividend A
19,0P0000709S.TO,Fidelity Small Cap America Sr A
20,0P000070AA.TO,Fidelity Canadian Growth Company Sr A
21,0P000070AC.TO,AGF Total Return Bond Fund
22,0P000070AW.TO,CI Portfolio Series Income
23,0P000070BP.TO,CIBC Balanced Index
24,0P000070CR.TO,CI Signature Select Canadian A
25,0P000070CX.TO,CI Signature High Income
26,0P000070DS.TO,AGF American Growth Class
27,0P000070E4.TO,CIBC Canadian Bond
28,0P000070EJ.TO,MD Growth Investments Limited
29,0P000070EL.TO,London Life Mortgage (Portico)
30,0P000070EX.TO,IG Mackenzie Mutual of Canada C
31,0P000070EY.TO,IG Mackenzie Mortgage and Short Term Income Fund C
32,0P000070F3.TO,IG Mackenzie North American Equity Fund C
33,0P000070F5.TO,IG Mackenzie Dividend Fund C
34,0P000070FG.TO,Mackenzie Income Fund - A
35,0P000070G0.TO,Mackenzie US All Cap Growth Fund Sr A
36,0P000070GW.TO,Fidelity Canadian Disciplined Equity Fund A
37,0P000070GW.TO,Fidelity Canadian Disciplined Equity Fund A
38,0P000070HK.TO,Fidelity Canadian Asset Allocation Fund A
39,0P000070HM.TO,TD Mgd Aggressive Growth Port I
40,0P000070HN.TO,TD Mgd Balanced Growth Port I
41,0P000070IV.TO,TD Health Sciences - I
42,0P000070IW.TO,TD U.S. Blue Chip Equity Fund I Series
43,0P000070J7.TO,CI Signature Canadian Balanced
44,0P000070KX.TO,RBC Monthly Income Fund A
45,0P000070KZ.TO,Fidelity U.S. Focused Stock Fund Series A
46,0P000070L0.TO,IG Mackenzie European Equity Fund C DSC
47,0P000070LL.TO,TD Dividend Growth - I
48,0P000070LV.TO,CI Canadian Investment A
49,0P000070MJ.TO,Mackenzie Canadian Bond Fund - M
50,0P000070MW.TO,Franklin Quotential Balanced Growth Portfolio A
51,0P000070NQ.TO,TD Glbl Entertainment & Comm - I
52,0P000070NS.TO,BMO Monthly Income A
53,0P000070OX.TO,Scotia Canadian Income Fund Series A
54,0P000070Q6.TO,Fidelity True North Sr A
55,0P000070R0.TO,TD Monthly Income - I
56,0P000070RT.TO,Mackenzie Canadian Growth Balanced Fund - A
57,0P000070RW.TO,IA Clarington Strategic Income Fund Series Y
58,0P000070TE.TO,CIBC Canadian Bond Index
59,0P000070U9.TO,NBI Bond Fund - A
60,0P000070UF.TO,Desjardins Canadian Bond
61,0P000070UM.TO,Fidelity Canadian Bond Sr A
62,0P000070UN.TO,Fidelity Canadian Large Cap Sr A
63,0P000070UR.TO,Renaissance Global Growth
64,0P000070UW.TO,TD U.S. Index Fund - I
65,0P000070UY.TO,TD Canadian Index - I
66,0P000070UZ.TO,Invesco Income Growth Fund Series SC
67,0P000070V1.TO,Invesco Global Companies Fund Series SC
68,0P0000711Z.TO,TD Canadian Bond - I
69,0P00007122.TO,TD Canadian Equity - I
70,0P0000712J.TO,CIBC Money Market
71,0P0000712N.TO,TD Short Term Bond - I
72,0P0000712O.TO,Scotia Canadian Balanced
73,0P0000712Y.TO,BMO Asset Allocation A
74,0P0000713T.TO,MD Bond
75,0P00007142.TO,Investors Income Plus Portfolio C
76,0P00007149.TO,Mawer International Equity Fund Class A
77,0P0000714B.TO,Mawer New Canada A
78,0P0000714C.TO,Mawer Tax Effective Balanced Fund Class A
79,0P0000714D.TO,Mawer Balanced Fund Class A
80,0P0000715P.TO,London Life Dividend (GWLIM)
81,0P00007169.TO,CI Signature Canadian Bond
82,0P00007169.TO,CI Signature Canadian Bond
83,0P0000716B.TO,Mawer US Equity A
84,0P00007172.TO,RBC Canadian Short-Term Income Fund A
85,0P00007174.TO,Mawer Canadian Bond A
86,0P0000718L.TO,RBC Global Bond Fund A
87,0P0000718Q.TO,Mackenzie Ivy Global Balanced Fund - A
88,0P00007194.TO,CIBC Canadian Short-Term Bond Index
89,0P0000719G.TO,BMO Canadian Equity A
90,0P000071B9.TO,Fidelity NorthStar Sr A
91,0P000071BD.TO,Mackenzie US Mid Cap Growth Class - A
92,0P000071C8.TO,Scotia Canadian Dividend Fund Series A
93,0P000071CI.TO,Mackenzie Ivy Foreign Equity Fund - A
94,0P000071CL.TO,HSBC Mortgage Fund Investor Series
95,0P000071GJ.TO,Fidelity American High Yield Sr A
96,0P000071GJ.TO,Fidelity American High Yield Sr A
97,0P000071H9.TO,Epoch Global Equity Fund - I Series
98,0P000071HB.TO,"Phillips, Hager & North Short Term Bond & Mortgage Fund D"
99,0P000071HD.TO,TD Science & Technology - I
100,0P000071HI.TO,Mackenzie Canadian Growth Fund - A
101,0P000071HL.TO,AGF Fixed Income Plus Fund
102,0P000071JF.TO,CIBC US Broad Market Index
103,0P000071JH.TO,Fidelity Canadian Money Market Series A
104,0P000071LP.TO,Mackenzie Ivy Global Balanced Fund - T8
105,0P000071LQ.TO,TD Monthly Income - A
106,0P000071MZ.TO,TD U.S. Blue Chip Equity Fund A Series
107,0P000071N2.TO,TD Science & Technology - A
108,0P000071N5.TO,TD Health Sciences - A
109,0P000071N7.TO,Epoch Global Equity Fund - A Series
110,0P000071NA.TO,TD Glbl Entertainment & Comm - A
111,0P000071NF.TO,TD Canadian Equity - A
112,0P000071NG.TO,TD Canadian Bond - A
113,0P000071PS.TO,CI Black Creek Global Leaders Fund Class D
114,0P000071R9.TO,London Life Moderate Profile (PSG)
115,0P000071RA.TO,London Life Conservative Profile (PSG)
116,0P000071RE.TO,London Life Balanced Profile (PSG)
117,0P000071SG.TO,CI Portfolio Series Balanced
118,0P000071SJ.TO,Fidelity Canadian Balanced Series A
119,0P000071T6.TO,Mackenzie Canadian Bond Fund - A
120,0P000071TK.TO,GWL Real Estate (GWLRA) NL
121,0P000071UV.TO,Manulife Monthly High Income GIFe 1
122,0P000071V6.TO,Manulife Dividend Income Plus Fund Series Adv
123,0P000071VK.TO,MDPIM US Equity Pool
124,0P000071VP.TO,"Phillips, Hager & North Total Return Bond Fund D"
125,0P000071VQ.TO,"Phillips, Hager & North High Yield Bond Fund D"
126,0P000071W8.TO,TD U.S. Index Fund - e
