,Symbol,Name
0,AGF1225,AGF American Growth Class Series Q
1,AGF1423,AGF American Growth Class W
2,AGF201,AGF American Growth Class
3,AGF2100,AGF American Growth Class Series T
4,AGF2200,AGF American Growth Class Series T
5,AGF2504,AGF American Growth Class FV
6,AGF275,AGF American Growth Class
7,AGF3009,AGF American Growth Class Series V
8,AGF3109,AGF American Growth Class Series V
9,AGF3209,AGF American Growth Class Series V
10,AGF531,AGF American Growth Class
11,AGF626,AGF American Growth Class
12,AGF631,AGF American Growth Class
13,AGF754,AGF American Growth Class Series F
14,AGF854,AGF American Growth Class Series F
15,AGF931,AGF American Growth Class
16,ATL1347,Renaissance US Equity Income Cl T4
17,ATL1348,Renaissance US Equity Income Cl T4
18,ATL1349,Renaissance US Equity Income Cl T4
19,ATL1350,Renaissance US Equity Income Cl T6
20,ATL1351,Renaissance US Equity Income Cl T6
21,ATL1352,Renaissance US Equity Income Cl T6
22,ATL1353,Renaissance US Equity Income Cl FT4
23,ATL1354,Renaissance US Equity Income Cl FT6
24,ATL1355,Renaissance US Equity Income (H) Cl HT4
25,ATL1356,Renaissance US Equity Income (H) Cl HT4
26,ATL1357,Renaissance US Equity Income (H) Cl HT4
27,ATL1358,Renaissance US Equity Income (H) Cl HT6
28,ATL1359,Renaissance US Equity Income (H) Cl HT6
29,ATL1360,Renaissance US Equity Income (H) Cl HT6
30,ATL1361,Renaissance US Equity Income (H) Cl FHT4
31,ATL1362,Renaissance US Equity Income (H) Cl FHT6
32,ATL2486,Renaissance US Equity Income
33,ATL2487,Renaissance US Equity Income
34,ATL2488,Renaissance US Equity Income
35,ATL2489,Renaissance US Equity Income
36,ATL2490,Renaissance US Equity Income
37,ATL2491,Renaissance US Equity Income
38,ATL2492,Renaissance US Equity Income F
39,ATL2493,Renaissance US Equity Income F
40,ATL2494,Renaissance US Equity Income F Prem
41,ATL2495,Renaissance US Equity Income F Prem
42,ATL3276,Renaissance US Equity Income H
43,ATL3277,Renaissance US Equity Income H
44,ATL3278,Renaissance US Equity Income H
45,ATL3280,Renaissance US Equity Income FH
46,ATL3281,Renaissance US Equity Income FH Prem
47,ATL3282,Renaissance US Equity Income Cl OH
48,BTG105,Beutel Goodman American Equity Class F
49,BTG105U,Beutel Goodman American Equity Class F
50,BTG208,Beutel Goodman American Equity Class I
51,BTG208U,Beutel Goodman American Equity Class I
52,BTG308,Beutel Goodman American Equity Class B
53,BTG308U,Beutel Goodman American Equity Class B
54,BTG774,Beutel Goodman American Equity Class D
55,BTG774U,Beutel Goodman American Equity Class D
56,CIB258,CIBC US Broad Market Index F
57,CIB259,CIBC US Broad Market Index F
58,CIB315,CIBC US Broad Market Index F-Premium
59,CIB322,CIBC US Broad Market Index F-Premium
60,CIB484,CIBC US Broad Market Index
61,CIB589,CIBC US Broad Market Index Premium
62,CIB597,CIBC US Broad Market Index Premium
63,CIB884,CIBC US Broad Market Index
64,CIG11097,Sentry U.S. Growth and Income D
65,CIG15078,Sentry U.S Growth and Income EF
66,CIG16078,Sentry U.S Growth and Income E
67,CIG50237,Sentry U.S. Growth and Income A
68,CIG50238,Sentry U.S. Growth and Income A
69,CIG51237,Sentry U.S. Growth and Income B
70,CIG51238,Sentry U.S. Growth and Income B
71,CIG52237,Sentry U.S. Growth and Income B
72,CIG52238,Sentry U.S. Growth and Income B
73,CIG53237,Sentry U.S. Growth and Income B
74,CIG53238,Sentry U.S. Growth and Income B
75,CIG54237,Sentry U.S. Growth and Income F
76,CIG54238,Sentry U.S. Growth and Income F
77,CIG55237,Sentry U.S. Growth and Income I
78,CIG55238,Sentry U.S. Growth and Income I
79,CIG58237,Sentry U.S. Growth and Income P
80,DFA292,DFA US Core Equity A
81,DFA293,DFA US Core Equity Class F
82,DFA381,DFA US Core Equity Class I
83,DFA444,DFA US Core Equity Class A (H)
84,DFA445,DFA US Core Equity Class F (H)
85,DFA503,DFA US Core Equity Class I(H)
86,DFA682,DFA US Core Equity A
87,DFA683,DFA US Core Equity Class F
88,DFA684,DFA US Core Equity Class I
89,DJT00040,Desjardins American Equity Value
90,DJT00072,Desjardins American Equity Growth
91,DJT00640,Desjardins American Eq Value I
92,DJT00672,Desjardins American Equity Growth I
93,DJT03040,Desjardins American Equity Value C
94,DJT03072,Desjardins American Equity Growth C
95,DJT03272,Desjardins American Equity Growth C
96,DJT03440,Desjardins American Equity Value C
97,DJT03472,Desjardins American Equity Growth C
98,DJT03840,Desjardins American Equity Value F
99,DJT03872,Desjardins American Equity Growth F
100,DJT07040,Desjardins American Equity Value D
101,DJT07072,Desjardins American Equity Growth D
102,DYN004,Dynamic Power American Growth
103,DYN039,Dynamic Power American Growth
104,DYN1004,Dynamic Power American Growth Series T
105,DYN1014,Dynamic Power American Growth Series T
106,DYN1024,Dynamic Power American Growth Series T
107,DYN1244,Dynamic Power American Growth
108,DYN1627,Dynamic Power American Growth Series IP
109,DYN1628,Dynamic Power American Growth Series IP
110,DYN2002,Dynamic Power American Growth Series O
111,DYN253,Dynamic Power American Growth Ser F
112,DYN2714,Dynamic Power American Growth Series N
113,DYN2715,Dynamic Power American Growth Series N
114,DYN2716,Dynamic Power American Growth Series N
115,DYN2717,Dynamic Power American Growth Series FN
116,DYN2718,Dynamic Power American Growth Series IN
117,DYN2923,Dynamic Power American Growth Serie FT
118,DYN3324,Dynamic Power American Growth
119,DYN3424,Dynamic Power American Growth
120,DYN3524,Dynamic Power American Growth
121,DYN3624,Dynamic Power American Growth Ser F
122,DYN439,Dynamic Power American Growth Ser F
123,DYN504,Dynamic Power American Growth
124,DYN604,Dynamic Power American Growth
125,DYN639,Dynamic Power American Growth
126,DYN704,Dynamic Power American Growth
127,DYN7045,Dynamic Power American Growth
128,DYN7046,Dynamic Power American Growth Series T
129,DYN739,Dynamic Power American Growth
130,DYN8675,Dynamic Power American Growth
131,DYN8775,Dynamic Power American Growth
132,DYN8875,Dynamic Power American Growth
133,FID002,Fidelity US Focused Stock T8
134,FID017,Fidelity US Focused Stock A
135,FID034,Fidelity US Focused Stock A
136,FID102,Fidelity US Focused Stock T8
137,FID1112,Fidelity US Focused Stock T5
